,film,IMDB_Rating,Genre1,Genre2,Genre3
430,The Thin Red Line,7.6,Drama,War,
302,Sicario,7.6,Action,Crime,Drama
95,Close Encounters of the Third Kind,7.6,Drama,Sci-Fi,
161,Harry Potter and the Half-Blood Prince,7.6,Action,Adventure,Family
100,Creed,7.6,Drama,Sport,
241,Mulan,7.6,Animation,Adventure,Family
242,Mustang,7.6,Drama,,
243,My Cousin Vinny,7.6,Comedy,Crime,
105,Dawn of the Planet of the Apes,7.6,Action,Adventure,Drama
306,Sleepers,7.6,Crime,Drama,Thriller
298,Sherlock Holmes,7.6,Action,Adventure,Mystery
41,Baby Driver,7.6,Action,Crime,Drama
295,Sense and Sensibility,7.6,Drama,Romance,
121,Eastern Promises,7.6,Action,Crime,Drama
132,Finding Neverland,7.6,Biography,Drama,Family
136,From Here to Eternity,7.6,Drama,Romance,War
254,On Golden Pond,7.6,Drama,,
143,Giant,7.6,Drama,Western,
264,Philomena,7.6,Biography,Comedy,Drama
148,Gone Baby Gone,7.6,Crime,Drama,Mystery
237,Moneyball,7.6,Biography,Drama,Sport
163,Harry Potter and the Sorcerer's Stone,7.6,Adventure,Family,Fantasy
337,The Blind Side,7.6,Biography,Drama,Sport
340,The Bridges of Madison County,7.6,Drama,Romance,
212,Lifeboat,7.6,Drama,War,
419,The Secret of Kells,7.6,Animation,Adventure,Family
418,The Royal Tenenbaums,7.6,Comedy,Drama,
169,Home Alone,7.6,Comedy,Family,
404,The Muppet Movie,7.6,Adventure,Comedy,Family
391,The Long Goodbye,7.6,Comedy,Crime,Drama
389,The Little Mermaid,7.6,Animation,Family,Fantasy
226,Match Point,7.6,Drama,Romance,Thriller
377,The Jungle Book,7.6,Animation,Adventure,Family
165,Hell or High Water,7.6,Action,Crime,Drama
70,Breakfast at Tiffany's,7.6,Comedy,Drama,Romance
372,The Illusionist,7.6,Drama,Fantasy,Mystery
370,The Hurricane,7.6,Biography,Drama,Sport
155,Guardians of the Galaxy Vol. 2,7.6,Action,Adventure,Comedy
229,Midnight Express,7.6,Biography,Crime,Drama
354,The Florida Project,7.6,Drama,,
232,Minority Report,7.6,Action,Crime,Mystery
236,Moana,7.6,Animation,Adventure,Comedy
