,winner,Genre
1427,True,Drama
1428,False,Drama
1429,False,Drama
1430,True,Drama
1431,True,Drama
1432,False,Drama
1433,False,Drama
1434,False,Drama
1435,False,Fantasy
1436,False,Fantasy
1437,False,Fantasy
1438,False,Fantasy
1439,False,Mystery
1440,False,Mystery
1441,False,Mystery
1442,False,Mystery
1443,False,Mystery
1444,False,Mystery
1445,False,Fantasy
1446,False,Fantasy
1447,False,Fantasy
1448,True,Sci-Fi
1449,True,Sci-Fi
1450,True,Sci-Fi
1451,True,Sci-Fi
1452,False,Animation
1453,False,Animation
1454,False,Drama
1455,True,Action
1456,False,Action
1457,False,Action
1458,False,Action
1459,True,Action
1460,False,Action
1461,False,Action
1462,False,Action
1463,True,Action
1464,True,Action
1465,True,Action
1466,False,Action
1467,False,Romance
1468,False,Romance
1469,False,Drama
1470,False,Comedy
1471,False,Comedy
1472,False,Comedy
1473,True,Comedy
1474,False,Music
1475,False,Music
1476,False,Music
1477,False,Crime
1478,False,Crime
1479,False,Music
1480,False,Biography
1481,True,Biography
1482,True,Biography
1483,False,Biography
1484,False,Biography
1485,False,Biography
1486,True,Biography
1487,True,Biography
1488,False,Drama
1489,True,Thriller
1490,False,Thriller
1491,False,Action
1492,False,Action
1493,True,Action
1494,False,Action
1495,False,Action
1496,False,Action
1497,True,Action
1498,True,Action
1499,False,Action
1500,False,Action
1501,False,Action
1502,True,Action
1503,False,Action
1504,False,Animation
1505,False,Animation
1506,True,Animation
1507,False,Animation
1508,True,Animation
1509,False,Animation
1510,False,Romance
1511,False,Romance
1512,False,Romance
1513,False,Romance
1514,False,Romance
1515,False,Family
1516,False,Family
1517,False,Family
1518,False,War
1519,False,War
1520,True,War
1521,True,War
1522,False,Mystery
1523,False,Mystery
1524,True,War
1525,False,Comedy
1526,True,Music
1527,False,Music
1528,False,Music
1529,True,Music
1530,False,Music
1531,False,Music
1532,True,Music
1533,False,Thriller
1534,False,Thriller
1535,True,Thriller
1536,False,Thriller
1537,False,Thriller
1538,False,Thriller
1539,False,Crime
1540,False,Crime
1541,False,Action
1542,False,Action
1543,False,Action
1544,False,Action
1545,True,Action
1546,True,Action
1547,False,Mystery
1548,False,Fantasy
1549,False,Fantasy
1550,False,Fantasy
1551,False,Fantasy
1552,False,Fantasy
1553,False,Comedy
1554,False,Comedy
1555,False,Comedy
1556,True,Comedy
1557,True,Mystery
1558,True,Mystery
1559,False,Mystery
1560,False,Mystery
1561,False,Mystery
1562,False,Mystery
1563,False,Thriller
1564,False,Thriller
1565,False,Drama
1566,False,Drama
1567,False,Drama
1568,False,Action
1569,False,Action
1570,False,Action
1571,False,Action
1572,True,Animation
1573,False,Animation
1574,False,Animation
1575,False,Animation
1576,True,Action
1577,True,Action
1578,True,Action
1579,True,Action
1580,True,Action
1581,True,Action
1582,True,Action
1583,True,Action
1584,True,Action
1585,True,Action
1586,True,Action
1587,False,Fantasy
1588,False,History
1589,False,History
1590,False,History
1591,False,Family
1592,False,Family
1593,False,Family
1594,False,Family
1595,True,Family
1596,False,Family
1597,False,Family
1598,False,Sport
1599,True,Sport
1600,True,Sport
1601,True,Sport
1602,False,Sport
1603,True,Sport
1604,False,Sport
1605,True,Music
1606,False,Music
1607,False,Music
1608,False,Music
1609,False,Music
1610,True,Music
1611,False,Sci-Fi
1612,True,Sci-Fi
1613,True,Animation
1614,True,Animation
1615,False,Animation
1616,False,Animation
1617,False,Family
1618,False,Family
1619,False,Romance
1620,False,Romance
1621,False,Romance
1622,False,Romance
1623,False,Romance
1624,True,Romance
1625,True,Romance
1626,False,Romance
1627,True,Romance
1628,False,Music
1629,True,Music
1630,False,Music
1631,False,Music
1632,False,Music
1633,False,Thriller
1634,False,Thriller
1635,True,Thriller
1636,False,Thriller
1637,True,Thriller
1638,True,Thriller
1639,False,History
1640,False,History
1641,False,History
1642,False,Romance
1643,False,Romance
1644,False,Romance
1645,False,Romance
1646,False,Family
1647,False,Action
1648,False,Music
1649,False,Thriller
1650,False,Thriller
1651,False,Thriller
1652,False,Thriller
1653,False,Thriller
1654,False,Thriller
1655,False,Biography
1656,True,History
1657,True,Comedy
1658,False,Comedy
1659,False,Comedy
1660,True,Comedy
1661,False,Thriller
1662,True,Thriller
1663,True,Thriller
1664,True,Thriller
1665,True,Thriller
1666,True,Fantasy
1667,True,Fantasy
1668,False,Fantasy
1669,True,Fantasy
1670,False,Fantasy
1671,False,Fantasy
1672,False,Sci-Fi
1673,False,Sci-Fi
1674,False,Sci-Fi
1675,False,Sci-Fi
1676,False,Sci-Fi
1677,False,Fantasy
1678,False,Fantasy
1679,False,Action
1680,False,Action
1681,True,Action
1682,False,Action
1683,True,Mystery
1684,False,Action
1685,False,Action
1686,False,Action
1687,True,Drama
1688,False,Drama
1689,True,Drama
1690,False,Drama
